modelo,pregunta,prompt,es_correcta,confianza,prob_entailment,prob_neutral,prob_contradiction
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 1,True,0.9692087173461914,0.9692087173461914,0.02901979722082615,0.0017713971901685
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 1,False,0.5640958547592163,0.5640958547592163,0.3036148250102997,0.13228930532932281
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 1,False,0.010570747777819633,0.010570747777819633,0.9845821261405945,0.004847116302698851
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 1,False,0.47939467430114746,0.47939467430114746,0.15600961446762085,0.3645957410335541
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 1,False,0.045840468257665634,0.045840468257665634,0.0410853810608387,0.9130741953849792
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 1,True,0.9156756401062012,0.9156756401062012,0.0565781369805336,0.027746209874749184
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 1,True,0.9936973452568054,0.9936973452568054,0.004058449063450098,0.0022441702894866467
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 1,True,0.7847456932067871,0.7847456932067871,0.1980295181274414,0.01722477562725544
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 1,False,0.0024871707428246737,0.0024871707428246737,0.02049734629690647,0.977015495300293
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 1,False,0.6570435166358948,0.6570435166358948,0.19448009133338928,0.14847640693187714
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 1,True,0.9944959282875061,0.9944959282875061,0.004688951186835766,0.0008151758811436594
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 1,True,0.871595561504364,0.871595561504364,0.11614291369915009,0.012261482886970043
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 1,False,0.07192611694335938,0.07192611694335938,0.01080030482262373,0.9172736406326294
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 1,True,0.9962831139564514,0.9962831139564514,0.003121078247204423,0.0005958073888905346
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 1,False,0.10515901446342468,0.10515901446342468,0.8882501721382141,0.0065908366814255714
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 2,True,0.9102792143821716,0.9102792143821716,0.08819838613271713,0.0015224867966026068
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 2,False,0.07859029620885849,0.07859029620885849,0.012207318097352982,0.9092023372650146
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 2,True,0.7069576382637024,0.7069576382637024,0.23146945238113403,0.06157293915748596
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 2,False,0.07799259573221207,0.07799259573221207,0.9123696684837341,0.009637730196118355
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 2,False,0.11109548807144165,0.11109548807144165,0.040915779769420624,0.8479887247085571
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 2,False,0.0015625851228833199,0.0015625851228833199,0.003549689194187522,0.9948877692222595
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 2,True,0.9847628474235535,0.9847628474235535,0.012286835350096226,0.0029502958059310913
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 2,True,0.9127270579338074,0.9127270579338074,0.011600951664149761,0.07567193359136581
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 2,True,0.944687008857727,0.944687008857727,0.040514398366212845,0.014798537828028202
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 2,False,0.013951361179351807,0.013951361179351807,0.9842911958694458,0.0017574377125129104
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 2,True,0.958922803401947,0.958922803401947,0.03913099691271782,0.0019461556803435087
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 2,True,0.9837118983268738,0.9837118983268738,0.014977293089032173,0.0013107798295095563
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 2,False,0.6363351941108704,0.6363351941108704,0.19288846850395203,0.1707763373851776
