modelo,pregunta,prompt,es_correcta,confianza,prob_entailment,prob_contradiction
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 1,True,0.8901445865631104,0.8901445865631104,0.10985536128282547
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 1,False,0.4511564373970032,0.4511564373970032,0.5488436222076416
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 1,True,0.8016744256019592,0.8016744256019592,0.19832560420036316
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 1,False,0.6686565279960632,0.6686565279960632,0.33134347200393677
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 1,False,0.15497615933418274,0.15497615933418274,0.8450238108634949
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 1,False,0.1773824840784073,0.1773824840784073,0.8226175308227539
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 1,False,0.4503132402896881,0.4503132402896881,0.5496867299079895
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 1,True,0.9466934204101562,0.9466934204101562,0.05330658331513405
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 1,False,0.6595482230186462,0.6595482230186462,0.34045177698135376
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 1,True,0.951964795589447,0.951964795589447,0.048035237938165665
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 1,True,0.9265380501747131,0.9265380501747131,0.07346190512180328
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 1,False,0.04276716336607933,0.04276716336607933,0.9572328925132751
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 1,True,0.9703450798988342,0.9703450798988342,0.02965492755174637
